x,y,Name,Genre,Critic_Score,User_Score,Global_Sales,Year
0.9100178323339423,2.547312971544428,Wii Party,Misc,7.0,7.6,9.32,2010.0
1.0611204783598382,2.473702085590815,Mario Party DS,Misc,7.1,7.8,9.31,2007.0
-0.33213350272595515,3.0317953488940317,Rust,Action-Adventure,6.1,6.1,9.15,2018.0
2.5684497103631805,1.9122719981148124,Marvel's Spider-Man,Action-Adventure,9.1,8.8,9.0,2018.0
3.0172909263799985,1.735181368576888,Half-Life 2,Shooter,9.7,9.1,8.88,2004.0
2.5079758399186938,1.953721197841618,The Elder Scrolls V: Skyrim,Role-Playing,9.3,8.5,8.88,2011.0
-0.06026386940068482,2.8431589023529145,Mario Party 8,Misc,6.5,6.3,8.85,2007.0
1.981005847365102,2.1451376873485697,Grand Theft Auto V,Action,9.0,7.8,8.72,2014.0
2.333245964967059,1.9663800606073145,Uncharted 4: A Thief's End,Action,9.2,8.3,8.7,2016.0
2.516466468042764,1.7597472695292597,Final Fantasy X,Role-Playing,9.0,8.9,8.6,2001.0
1.1416368868545064,2.4759006163274706,Fallout 4,Role-Playing,8.6,6.6,8.48,2015.0
2.389529710901381,1.7166655976920402,Mario Kart 8,Racing,8.8,8.9,8.42,2014.0
1.807043307942393,1.8702119039467737,Splatoon 2,Shooter,8.2,8.4,8.27,2017.0
-0.04373780601652452,3.0936125660103992,FIFA 16,Sports,8.5,4.4,8.22,2015.0
2.4052695870613316,1.7440311297516173,Halo 2,Shooter,9.6,8.2,8.0,2004.0
1.5250446141114236,2.0010571795906635,The Sims 3,Simulation,8.5,7.6,7.96,2009.0
1.7020641187835248,1.8705357702712153,Grand Theft Auto: Liberty City Stories,Action,8.8,7.7,7.72,2005.0
1.6759331197098022,1.7110163567817764,Pokemon Platinum Version,Role-Playing,8.3,8.2,7.6,2009.0
0.5209107789842528,2.462294368959285,Call of Duty: Advanced Warfare,Shooter,8.5,5.7,7.53,2014.0
1.467841849343846,1.8534891234514987,Call of Duty: World at War,Shooter,8.5,7.6,7.5,2008.0
2.8344907867966542,1.2636051891756428,Super Mario Galaxy 2,Platform,9.7,9.1,7.41,2010.0
2.5731081203462587,1.300261064501344,Super Smash Bros. Melee,Fighting,9.2,9.1,7.41,2001.0
1.399153948325993,1.8369049599792768,Battlefield 3,Shooter,8.5,7.5,7.35,2011.0
2.661249819198643,1.261683375833701,The Legend of Zelda: Twilight Princess,Adventure,9.5,9.0,7.26,2006.0
1.3817444112228177,1.7919929428934442,Battlefield 3,Shooter,8.5,7.5,7.21,2011.0
2.0331953127503612,1.403023508599549,Need for Speed Underground,Racing,8.6,8.7,7.2,2003.0
1.7225306211360931,1.5100005946358042,The Binding of Isaac,Action,8.3,8.4,7.17,2011.0
1.3951924993859803,1.5186996316020627,Pokemon Emerald Version,Role-Playing,7.7,8.4,7.06,2005.0
1.7890247363945837,1.3603128520164989,Need for Speed Underground 2,Racing,8.3,8.6,6.9,2004.0
1.8910907262457166,1.339234499445385,Mario Kart: Double Dash!!,Racing,8.5,8.6,6.88,2003.0
2.2042591880079705,1.3308248037106531,Uncharted 3: Drake's Deception,Action,9.3,8.4,6.84,2011.0
2.546550998693826,1.1264031672060648,Uncharted 2: Among Thieves,Action,9.5,8.9,6.74,2009.0
2.2938897942139778,1.277666438935373,Call of Duty 4: Modern Warfare,Shooter,9.5,8.4,6.72,2007.0
1.5279375191901743,1.655634213596216,FIFA Soccer 12,Sports,9.2,7.2,6.65,2011.0
2.5254108464971137,1.0718671464589824,Red Dead Redemption,Action,9.5,8.9,6.57,2011.0
1.9498782423280208,1.1880874268316348,Donkey Kong Country Returns,Platform,8.6,8.7,6.53,2010.0
1.1500738339116763,1.7314464600526118,Assassin's Creed III,Action-Adventure,8.8,6.9,6.5,2012.0
